date,reentry,underlying_price,ATM Strike,CE Entry,PE Entry,CE Exit,PE Exit,gross_pnl,PnL,ExitReason,EntryTime,ExitTime,expiry,weekday,trading_dy_typ,CumulativePnL,ce_sell_exp,pe_sell_exp,ce_buy_exp,pe_buy_exp,tt_exp,net_PnL
23-07-25,4,25194.3,25200,60.8,46,63,35.5,622.5,537.5,Exit,23-07-25 14:18,23-07-25 15:20,24-07-25,Wednesday,1,-263.75,7.41,5.60625,2.59875,1.464375,17.079375,605.420625
24-07-25,0,25212.45,25200,42.05,32.85,23.25,42.85,660,575,StopLoss,24-07-25 9:20,24-07-25 9:50,24-07-25,Thursday,0,575,5.12484375,4.00359375,0.9590625,1.7675625,11.8550625,648.1449375
24-07-25,1,25173.55,25150,47.35,21.1,24.35,28.55,1166.25,1081.25,StopLoss,24-07-25 9:55,24-07-25 11:20,24-07-25,Thursday,0,1656.25,5.77078125,2.5715625,1.0044375,1.1776875,10.52446875,1155.725531
24-07-25,2,25132.85,25150,17.05,52.1,14.5,65.7,-828.75,-913.75,StopLoss,24-07-25 11:25,24-07-25 11:55,24-07-25,Thursday,0,742.5,2.07796875,6.3496875,0.598125,2.710125,11.73590625,-840.4859063
24-07-25,3,25093.5,25100,25,52,19.55,67.75,-772.5,-857.5,StopLoss,24-07-25 12:00,24-07-25 12:03,24-07-25,Thursday,0,-115,3.046875,6.3375,0.8064375,2.7946875,12.9855,-785.4855
24-07-25,4,25052.15,25050,34.6,49.4,46.7,28.35,671.25,586.25,StopLoss,24-07-25 12:08,24-07-25 12:19,24-07-25,Thursday,0,471.25,4.216875,6.020625,1.926375,1.1694375,13.3333125,657.9166875
24-07-25,5,25068.3,25050,40.05,28.3,53.45,14.7,15,-70,StopLoss,24-07-25 12:24,24-07-25 12:32,24-07-25,Thursday,0,401.25,4.88109375,3.4490625,2.2048125,0.606375,11.14134375,3.85865625
24-07-25,6,25090.3,25100,18.1,45.9,22.95,35.35,427.5,342.5,StopLoss,24-07-25 12:37,24-07-25 12:44,24-07-25,Thursday,0,743.75,2.2059375,5.5940625,0.9466875,1.4581875,10.204875,417.295125
24-07-25,7,25078,25100,21,39.2,16.35,50.15,-472.5,-557.5,StopLoss,24-07-25 12:49,24-07-25 12:57,24-07-25,Thursday,0,186.25,2.559375,4.7775,0.6744375,2.0686875,10.08,-482.58
24-07-25,8,25064.2,25050,31.75,23.85,48.8,8.65,-138.75,-223.75,StopLoss,24-07-25 13:02,24-07-25 13:46,24-07-25,Thursday,0,-37.5,3.86953125,2.90671875,2.013,0.3568125,9.1460625,-147.8960625
24-07-25,9,25088.75,25100,20.1,23,8.35,40.75,-450,-535,StopLoss,24-07-25 13:51,24-07-25 13:58,24-07-25,Thursday,0,-572.5,2.4496875,2.803125,0.3444375,1.6809375,7.2781875,-457.2781875
24-07-25,10,25058.4,25050,36.7,6.95,56.05,4.55,-1271.25,-1356.25,StopLoss,24-07-25 14:03,24-07-25 14:04,24-07-25,Thursday,0,-1928.75,4.4728125,0.84703125,2.3120625,0.1876875,7.81959375,-1279.069594
