date,reentry,underlying_price,ATM Strike,CE Entry,PE Entry,CE Exit,PE Exit,gross_pnl,net_PnL,ExitReason,EntryTime,ExitTime,expiry,weekday,trading_dy_typ,CumulativePnL,,ce_sell_exp,put_sell_exp,ce_buy_exp,pe_buy_exp,exp,net
12-02-25,7,23009.55,23000,128.1,89.45,165.25,72.65,-1526.25,-1611.25,StopLoss,12-02-25 11:49,12-02-25 11:57,13-02-25,Wednesday,1,-6638.75,,15.6121875,10.9030605,0.696280875,0.306110775,27.51763965,-1553.76764
12-02-25,8,23059.25,23050,142.5,92.3,113.85,116.05,367.5,282.5,StopLoss,12-02-25 12:02,12-02-25 12:24,13-02-25,Wednesday,1,-6356.25,,17.3671875,11.250447,0.479706975,0.488976675,29.58631815,337.9136819
12-02-25,9,23015.2,23000,143.25,89.75,185.8,64.85,-1323.75,-1408.75,StopLoss,12-02-25 12:29,12-02-25 12:50,13-02-25,Wednesday,1,-7765,,17.45859375,10.9396275,0.7828683,0.273245475,29.45433503,-1353.204335
12-02-25,10,23093.9,23100,105.3,113.75,58.35,144.1,1245,1160,StopLoss,12-02-25 12:55,12-02-25 14:00,13-02-25,Wednesday,1,-6605,,12.8334375,13.8649875,0.245857725,0.60716535,27.55144808,1217.448552
13-02-25,0,23093.5,23100,73.65,68.1,61.2,86.9,-476.25,-561.25,StopLoss,13-02-25 9:20,13-02-25 9:23,13-02-25,Thursday,0,-561.25,,8.97609375,8.300709,0.2578662,0.36615315,17.9008221,-494.1508221
13-02-25,1,23062.05,23050,73.05,107.95,105.1,60.5,1155,1070,StopLoss,13-02-25 9:28,13-02-25 9:32,13-02-25,Thursday,0,508.75,,8.90296875,13.1580255,0.44283885,0.25491675,22.75874985,1132.24125
13-02-25,2,23081.8,23100,80.1,78.55,113.85,40.45,326.25,241.25,StopLoss,13-02-25 9:37,13-02-25 9:53,13-02-25,Thursday,0,750,,9.7621875,9.5744595,0.479706975,0.170436075,19.98679005,306.2632099
13-02-25,3,23169.15,23150,82.4,57.15,72.45,18.85,3618.75,3533.75,TakeProfit,13-02-25 9:58,13-02-25 11:27,13-02-25,Thursday,0,4283.75,,10.0425,6.9660135,0.305268075,0.079424475,17.39320605,3601.356794
14-02-25,0,23090.5,23100,187.15,164.65,158.65,207.85,-1102.5,-1187.5,StopLoss,14-02-25 9:20,14-02-25 9:35,20-02-25,Friday,4,-1187.5,,22.80890625,20.0691885,0.668471775,0.875775975,44.4223425,-1146.922342
14-02-25,1,23008.7,23000,230.7,135.9,176,174.4,1215,1130,StopLoss,14-02-25 9:40,14-02-25 10:36,20-02-25,Friday,4,-57.5,,28.1165625,16.564851,0.741576,0.7348344,46.1578239,1168.842176
14-02-25,2,22965.7,22950,197,161.4,160.75,205.3,-573.75,-658.75,StopLoss,14-02-25 10:41,14-02-25 11:04,20-02-25,Friday,4,-716.25,,24.009375,19.673046,0.677320125,0.86503155,45.22477268,-618.9747727
14-02-25,3,22874.1,22850,200.75,167.2,267.4,105.7,-386.25,-471.25,StopLoss,14-02-25 11:09,14-02-25 14:43,20-02-25,Friday,4,-1187.5,,24.46640625,20.380008,1.1266899,0.44536695,46.4184711,-432.6684711
14-02-25,4,22956.7,22950,191.95,155,168.4,163.4,1136.25,1051.25,Exit,14-02-25 14:48,14-02-25 15:20,20-02-25,Friday,4,-136.25,,23.39390625,18.89295,0.7095534,0.6884859,43.68489555,1092.565104
17-02-25,0,22849,22850,203.75,153.35,144.8,192.45,1488.75,1403.75,StopLoss,17-02-25 9:20,17-02-25 9:54,20-02-25,Monday,3,1403.75,,24.83203125,18.6918315,0.6101148,0.810888075,44.94486563,1443.805134
17-02-25,1,22750.15,22750,211,132.3,274.95,91.05,-1702.5,-1787.5,StopLoss,17-02-25 9:59,17-02-25 10:36,20-02-25,Monday,3,-383.75,,25.715625,16.126047,1.158501825,0.383639175,43.383813,-1745.883813
17-02-25,2,22878.55,22900,181.6,151.5,142.25,190.85,0,-85,StopLoss,17-02-25 10:41,17-02-25 11:12,20-02-25,Monday,3,-468.75,,22.1325,18.466335,0.599370375,0.804146475,42.00235185,-42.00235185
17-02-25,3,22808.45,22800,189.1,143.75,236.4,107.95,-862.5,-947.5,StopLoss,17-02-25 11:17,17-02-25 12:00,20-02-25,Monday,3,-1416.25,,23.0465625,17.5216875,0.9960714,0.454847325,42.01916873,-904.5191687
17-02-25,4,22884.7,22900,164.15,156.05,220.5,121.75,-1653.75,-1738.75,StopLoss,17-02-25 12:05,17-02-25 13:41,20-02-25,Monday,3,-3155,,20.00578125,19.0209345,0.92907675,0.512993625,40.46878613,-1694.218786
17-02-25,5,22939,22950,172.5,151.2,172.85,132.85,1350,1265,Exit,17-02-25 13:46,17-02-25 15:20,20-02-25,Monday,3,-1890,,21.0234375,18.429768,0.728303475,0.559763475,40.74127245,1309.258728
18-02-25,0,22922.2,22900,181.7,137.85,117,177.4,1886.25,1801.25,StopLoss,18-02-25 9:20,18-02-25 10:22,20-02-25,Tuesday,2,1801.25,,22.1446875,16.8025365,0.4929795,0.7474749,40.1876784,1846.062322
18-02-25,1,22831.65,22850,138.8,154.15,175.4,95.05,1687.5,1602.5,StopLoss,18-02-25 10:27,18-02-25 12:36,20-02-25,Tuesday,2,3403.75,,16.91625,18.7893435,0.7390479,0.400493175,36.84513458,1650.654865
18-02-25,2,22905.55,22900,131.5,125.8,135.35,103.65,1372.5,1287.5,Exit,18-02-25 12:41,18-02-25 15:20,20-02-25,Tuesday,2,4691.25,,16.0265625,15.333762,0.570297225,0.436729275,32.367351,1340.132649
19-02-25,0,22845.35,22850,118.25,111.9,153.3,63,1038.75,953.75,StopLoss,19-02-25 9:20,19-02-25 9:46,20-02-25,Wednesday,1,953.75,,14.41171875,13.639491,0.64592955,0.2654505,28.9625898,1009.78741
19-02-25,1,22933.8,22950,115.5,96.8,164.75,67.35,-1485,-1570,StopLoss,19-02-25 9:51,19-02-25 10:15,20-02-25,Wednesday,1,-616.25,,14.0765625,11.798952,0.694174125,0.283779225,26.85346785,-1511.853468
19-02-25,2,23026.2,23050,117.65,102.45,73,140.45,498.75,413.75,StopLoss,19-02-25 10:20,19-02-25 10:52,20-02-25,Wednesday,1,-202.5,,14.33859375,12.4876305,0.3075855,0.591786075,27.72559583,471.0244042
19-02-25,3,22963.6,22950,108.6,99.5,136.95,65.25,442.5,357.5,StopLoss,19-02-25 10:57,19-02-25 11:59,20-02-25,Wednesday,1,155,,13.235625,12.128055,0.577038825,0.274930875,26.2156497,416.2843503
19-02-25,4,23001.85,23000,111.7,81.9,84.45,104.3,363.75,278.75,StopLoss,19-02-25 12:04,19-02-25 12:33,20-02-25,Wednesday,1,433.75,,13.6134375,9.982791,0.355830075,0.43946805,24.39152663,339.3584734
19-02-25,5,22958.85,22950,109.6,77.9,89.35,103.4,-393.75,-478.75,StopLoss,19-02-25 12:38,19-02-25 13:08,20-02-25,Wednesday,1,-45,,13.3575,9.495231,0.376476225,0.4356759,23.66488313,-417.4148831
19-02-25,6,22916.65,22900,124.7,67.8,92.05,89.75,802.5,717.5,StopLoss,19-02-25 13:13,19-02-25 14:19,20-02-25,Wednesday,1,672.5,,15.1978125,8.264142,0.387852675,0.378161625,24.2279688,778.2720312
19-02-25,7,22887.05,22900,90.9,87.95,99.6,66.7,941.25,856.25,Exit,19-02-25 14:24,19-02-25 15:20,20-02-25,Wednesday,1,1528.75,,11.0784375,10.7202255,0.4196646,0.28104045,22.49936805,918.750632
20-02-25,0,22856,22850,76.8,60.1,75.75,20.55,3045,2960,TakeProfit,20-02-25 9:20,20-02-25 11:02,20-02-25,Thursday,0,2960,,9.36,7.325589,0.319172625,0.086587425,17.09134905,3027.908651
